region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
336,OK- LAWTON,83.79,14,13,14,81.82,83.79,14 [13 - 14],83.79% [81.82% - 83.79%],27,13,27,05-18-2021,projected
339,OK- OKLAHOMA CITY,82.43,105,100,113,81.64,83.43,105 [100 - 113],82.43% [81.64% - 83.43%],160,108,226,05-18-2021,projected
340,OK- TULSA,82.91,91,88,94,82.15,83.41,91 [88 - 94],82.91% [82.15% - 83.41%],146,108,171,05-18-2021,projected
341,OR- BEND,95.31,42,40,44,90.62,98.27,42 [40 - 44],95.31% [90.62% - 98.27%],62,43,74,05-18-2021,projected
342,OR- EUGENE,85.45,42,40,46,84.68,86.64,42 [40 - 46],85.45% [84.68% - 86.64%],64,55,78,05-18-2021,projected
343,OR- MEDFORD,86.74,42,39,45,84.97,87.56,42 [39 - 45],86.74% [84.97% - 87.56%],65,48,73,05-18-2021,projected
344,OR- PORTLAND,85.14,174,166,192,83.88,87.72,174 [166 - 192],85.14% [83.88% - 87.72%],269,203,404,05-18-2021,projected
345,OR- SALEM,86.42,14,13,15,85.28,88.26,14 [13 - 15],86.42% [85.28% - 88.26%],28,23,36,05-18-2021,projected
346,PA- ALLENTOWN,83.52,46,42,50,82.15,84.4,46 [42 - 50],83.52% [82.15% - 84.4%],111,68,139,05-18-2021,projected
347,PA- ALTOONA,87.63,22,21,24,85.32,88.78,22 [21 - 24],87.63% [85.32% - 88.78%],53,37,61,05-18-2021,projected
350,PA- DANVILLE,83.55,28,25,32,82.04,85.07,28 [25 - 32],83.55% [82.04% - 85.07%],54,31,77,05-18-2021,projected
351,PA- ERIE,85.66,80,75,85,84.76,86.51,80 [75 - 85],85.66% [84.76% - 86.51%],126,106,145,05-18-2021,projected
352,PA- HARRISBURG,84.93,46,42,50,83.27,85.89,46 [42 - 50],84.93% [83.27% - 85.89%],113,75,135,05-18-2021,projected
354,PA- JOHNSTOWN,84.19,14,14,16,83.78,85.14,14 [14 - 16],84.19% [83.78% - 85.14%],31,28,38,05-18-2021,projected
355,PA- LANCASTER,84.45,18,16,20,82.69,85.63,18 [16 - 20],84.45% [82.69% - 85.63%],53,32,67,05-18-2021,projected
