region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
288,NJ- NEW BRUNSWICK,80.33,13,12,14,80.25,80.43,13 [12 - 14],80.33% [80.25% - 80.43%],9,7,12,05-18-2021,projected
289,NJ- NEWARK,80.14,9,8,10,80.06,80.23,9 [8 - 10],80.14% [80.06% - 80.23%],7,3,11,05-18-2021,projected
291,NJ- PATERSON,80.25,7,6,7,80.0,80.42,7 [6 - 7],80.25% [80.0% - 80.42%],3,0,5,05-18-2021,projected
292,NJ- RIDGEWOOD,80.88,7,7,8,80.63,81.14,7 [7 - 8],80.88% [80.63% - 81.14%],7,5,9,05-18-2021,projected
293,NM- ALBUQUERQUE,81.88,93,87,101,80.98,82.56,93 [87 - 101],81.88% [80.98% - 82.56%],63,33,86,05-18-2021,projected
295,NY- ALBANY,80.89,68,63,77,80.65,81.64,68 [63 - 77],80.89% [80.65% - 81.64%],44,32,81,05-18-2021,projected
296,NY- BINGHAMTON,81.08,3,1,5,80.0,81.18,3 [1 - 5],81.08% [80.0% - 81.18%],10,0,11,05-18-2021,projected
297,NY- BRONX,80.17,7,6,11,80.0,80.64,7 [6 - 11],80.17% [80.0% - 80.64%],6,0,23,05-18-2021,projected
299,NY- BUFFALO,81.42,74,69,80,80.89,81.89,74 [69 - 80],81.42% [80.89% - 81.89%],51,32,68,05-18-2021,projected
300,NY- ELMIRA,81.21,18,16,19,80.28,81.21,18 [16 - 19],81.21% [80.28% - 81.21%],13,3,13,05-18-2021,projected
301,NY- EAST LONG ISLAND,80.15,16,12,24,80.0,80.39,16 [12 - 24],80.15% [80.0% - 80.39%],16,0,43,05-18-2021,projected
304,NY- ROCHESTER,82.91,129,122,139,82.06,84.02,129 [122 - 139],82.91% [82.06% - 84.02%],86,61,119,05-18-2021,projected
307,NY- SYRACUSE,82.12,102,97,111,81.49,83.01,102 [97 - 111],82.12% [81.49% - 83.01%],60,42,85,05-18-2021,projected
308,NY- WHITE PLAINS,80.07,0,0,2,80.0,80.24,0 [0 - 2],80.07% [80.0% - 80.24%],2,0,7,05-18-2021,projected
309,NC- ASHEVILLE,80.27,7,7,8,80.27,80.37,7 [7 - 8],80.27% [80.27% - 80.37%],5,5,7,05-18-2021,projected
311,NC- CHARLOTTE,80.85,77,72,79,80.66,81.05,77 [72 - 79],80.85% [80.66% - 81.05%],49,38,61,05-18-2021,projected
312,NC- DURHAM,80.69,54,50,60,80.37,81.15,54 [50 - 60],80.69% [80.37% - 81.15%],32,17,53,05-18-2021,projected
313,NC- GREENSBORO,81.23,35,34,38,81.0,81.62,35 [34 - 38],81.23% [81.0% - 81.62%],22,18,29,05-18-2021,projected
314,NC- GREENVILLE,81.0,38,36,41,80.8,81.32,38 [36 - 41],81.0% [80.8% - 81.32%],25,20,33,05-18-2021,projected
315,NC- HICKORY,80.67,7,7,8,80.4,81.07,7 [7 - 8],80.67% [80.4% - 81.07%],5,3,8,05-18-2021,projected
318,NC- RALEIGH,81.35,88,83,94,81.04,81.79,88 [83 - 94],81.35% [81.04% - 81.79%],57,44,76,05-18-2021,projected
319,NC- WILMINGTON,80.66,14,13,14,80.58,80.74,14 [13 - 14],80.66% [80.58% - 80.74%],8,7,9,05-18-2021,projected
320,NC- WINSTON-SALEM,80.71,40,37,42,80.49,80.84,40 [37 - 42],80.71% [80.49% - 80.84%],26,18,31,05-18-2021,projected
321,ND- BISMARCK,80.72,7,7,11,80.72,82.15,7 [7 - 11],80.72% [80.72% - 82.15%],6,6,18,05-18-2021,projected
322,ND- FARGO MOORHEAD -MN,80.39,14,13,14,80.3,80.44,14 [13 - 14],80.39% [80.3% - 80.44%],8,6,9,05-18-2021,projected
323,ND- GRAND FORKS,80.0,0,0,1,80.0,80.51,0 [0 - 1],80.0% [80.0% - 80.51%],0,0,3,05-18-2021,projected
324,ND- MINOT,80.86,14,12,14,80.43,81.29,14 [12 - 14],80.86% [80.43% - 81.29%],6,3,9,05-18-2021,projected
325,OH- AKRON,80.78,28,27,29,80.66,80.99,28 [27 - 29],80.78% [80.66% - 80.99%],19,16,24,05-18-2021,projected
326,OH- CANTON,81.51,51,47,53,80.8,81.89,51 [47 - 53],81.51% [80.8% - 81.89%],32,17,40,05-18-2021,projected
327,OH- CINCINNATI,80.42,29,26,34,80.27,80.71,29 [26 - 34],80.42% [80.27% - 80.71%],20,13,34,05-18-2021,projected
328,OH- CLEVELAND,80.77,99,94,105,80.52,80.95,99 [94 - 105],80.77% [80.52% - 80.95%],68,46,84,05-18-2021,projected
329,OH- COLUMBUS,80.5,72,66,81,80.35,80.88,72 [66 - 81],80.5% [80.35% - 80.88%],45,31,79,05-18-2021,projected
