Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Manipur,India,1911,20,0,0,1235,46,676,-26,2020-07-20 03:00:00,140001942,1235,53,676,-33
Puducherry,India,1999,109,28,0,1154,92,817,17,2020-07-20 03:00:00,140001953,1154,92,817,17
Himachal Pradesh,India,1521,64,10,0,1059,29,452,35,2020-07-20 03:00:00,140001941,1059,29,452,35
Nagaland,India,988,10,0,0,503,14,485,-4,2020-07-20 03:00:00,140001950,445,40,543,-30
Chandigarh,India,717,26,12,0,488,3,217,23,2020-07-20 03:00:00,140001945,488,3,217,23
Dadra and Nagar Haveli,India,690,37,2,0,450,14,238,23,2020-07-20 03:00:00,140001947,450,14,238,23
Arunachal Pradesh,India,740,90,3,0,282,8,455,82,2020-07-20 03:00:00,140002691,282,8,455,82
Meghalaya,India,450,32,4,2,62,0,384,30,2020-07-20 03:00:00,140001952,49,0,397,30
Mizoram,India,284,0,0,0,172,1,112,-1,2020-07-20 03:00:00,140001928,167,0,117,0
Andaman and Nicobar Islands,India,203,23,0,0,145,12,58,11,2020-07-20 03:00:00,140001955,145,12,58,11
Sikkim,India,296,10,0,0,112,19,184,-9,2020-07-20 03:00:00,140001951,90,0,206,10
Lakshadweep,India,0,0,0,0,0,0,0,0,2020-07-20 03:00:00,140001954,0,0,0,0
British Columbia,Canada,3198,0,189,0,2802,0,207,0,2020-07-20 03:00:00,140002874,2802,0,207,0
Alberta,Canada,9219,0,167,0,8193,0,859,0,2020-07-20 03:00:00,140002879,8193,0,859,0
Saskatchewan,Canada,943,2,15,0,799,1,129,1,2020-07-20 03:00:00,140002878,799,1,129,1
Manitoba,Canada,343,6,7,0,318,0,18,6,2020-07-20 03:00:00,140002877,318,0,18,6
Ontario,Canada,37604,164,2751,3,33407,113,1446,48,2020-07-20 03:00:00,140002875,33407,113,1446,48
Quebec,Canada,57466,166,5655,1,50050,23,1761,142,2020-07-20 03:00:00,140002869,50050,23,1761,142
Newfoundland,Canada,262,0,3,0,259,0,0,0,2020-07-20 03:00:00,140002930,259,0,0,0
New Brunswick,Canada,169,1,2,0,163,0,4,1,2020-07-20 03:00:00,140002928,163,0,4,1
Nova Scotia,Canada,1067,0,63,0,1002,0,2,0,2020-07-20 03:00:00,140002929,1002,0,2,0
Prince Edward Island,Canada,36,0,0,0,31,2,5,-2,2020-07-20 03:00:00,140002931,29,0,7,0
Yukon,Canada,13,0,0,0,11,0,2,0,2020-07-20 03:00:00,140002880,11,0,2,0
Northwest Territories,Canada,5,0,0,0,5,0,0,0,2020-07-20 03:00:00,140002881,5,0,0,0
Nunavut,Canada,0,0,0,0,0,0,0,0,2020-07-20 03:00:00,140003914,0,0,0,0
Repatriated travellers,Canada,13,0,,,13,0,,,2020-07-20 03:00:00,,13,0,,
Macedonia East and Thrace,Greece,470,1,,,,,,,2020-07-20 03:00:00,140000003,,,,
Macedonia Central,Greece,353,5,,,,,,,2020-07-20 03:00:00,140000005,,,,
Epirus,Greece,39,0,,,,,,,2020-07-20 03:00:00,140000010,,,,
Thessaly,Greece,205,1,,,,,,,2020-07-20 03:00:00,140000001,,,,
Ionian Islands,Greece,43,0,,,,,,,2020-07-20 03:00:00,140000008,,,,
Greece West,Greece,90,0,,,,,,,2020-07-20 03:00:00,140000013,,,,
Greece Central,Greece,98,0,,,,,,,2020-07-20 03:00:00,140000011,,,,
Attica,Greece,1821,10,,,,,,,2020-07-20 03:00:00,140000004,,,,
Peloponnese,Greece,205,0,,,,,,,2020-07-20 03:00:00,140000006,,,,
Aegean North,Greece,24,0,,,,,,,2020-07-20 03:00:00,140000002,,,,
Aegean South,Greece,44,2,,,,,,,2020-07-20 03:00:00,140000000,,,,
Crete,Greece,37,0,,,,,,,2020-07-20 03:00:00,140000012,,,,
Macedonia West,Greece,208,1,,,,,,,2020-07-20 03:00:00,140000009,,,,
Without permanent residency in Greece,Greece,341,-1,,,,,,,2020-07-20 03:00:00,,,,,
Mount Athos,Greece,4,0,,,,,,,2020-07-20 03:00:00,140000007,,,,
Under Investigation,Greece,1,0,,,,,,,2020-07-20 03:00:00,,,,,
Bogota,Colombia,60394,0,1486,0,30622,1159,28286,-1159,2020-07-20 03:00:00,140004233,23318,0,35590,0
Atlantico,Colombia,43160,0,2136,0,22240,0,18784,0,2020-07-20 03:00:00,140004209,22240,0,18784,0
Valle del Cauca,Colombia,17236,0,658,0,10075,465,6503,-465,2020-07-20 03:00:00,140004235,8506,0,8072,0
Bolivar,Colombia,14754,0,499,0,8952,0,5303,0,2020-07-20 03:00:00,140004226,8952,0,5303,0
Antioquia,Colombia,14686,0,182,0,4899,378,9605,-378,2020-07-20 03:00:00,140004230,3865,0,10639,0
Cundinamarca,Colombia,5649,0,121,0,2798,105,2730,-105,2020-07-20 03:00:00,140004214,2495,0,3033,0
Narino,Colombia,5194,0,163,0,3315,84,1716,-84,2020-07-20 03:00:00,140004237,3084,0,1947,0
Magdalena,Colombia,3947,0,238,0,1664,71,2045,-71,2020-07-20 03:00:00,140004225,1512,0,2197,0
Sucre,Colombia,3933,0,209,0,1235,123,2489,-123,2020-07-20 03:00:00,140004227,1035,0,2689,0
Cordoba,Colombia,2584,0,286,0,612,39,1686,-39,2020-07-20 03:00:00,140004228,573,0,1725,0
Choco,Colombia,2471,0,80,0,1562,69,829,-69,2020-07-20 03:00:00,140004231,1387,0,1004,0
Amazonas,Colombia,2454,0,101,0,2265,0,88,0,2020-07-20 03:00:00,140004218,2265,0,88,0
Meta,Colombia,1895,0,20,0,1263,29,612,-29,2020-07-20 03:00:00,140004234,1212,0,663,0
Cesar,Colombia,1893,0,38,0,1112,58,743,-58,2020-07-20 03:00:00,140004208,1054,0,801,0
Santander,Colombia,1863,0,39,0,799,99,1025,-99,2020-07-20 03:00:00,140004211,625,0,1199,0
Tolima,Colombia,1757,0,31,0,960,23,766,-23,2020-07-20 03:00:00,140004215,869,0,857,0
La Guajira,Colombia,1420,0,74,0,444,38,902,-38,2020-07-20 03:00:00,140004205,386,0,960,0
Cauca,Colombia,1055,0,34,0,419,28,602,-28,2020-07-20 03:00:00,140004236,319,0,702,0
Risaralda,Colombia,970,0,21,0,546,23,403,-23,2020-07-20 03:00:00,140004232,491,0,458,0
Norde de Santander,Colombia,790,0,35,0,305,19,450,-19,2020-07-20 03:00:00,140004210,280,0,475,0
Boyaca,Colombia,624,0,20,0,371,9,233,-9,2020-07-20 03:00:00,140004216,317,0,287,0
Huila,Colombia,520,0,15,0,348,0,157,0,2020-07-20 03:00:00,140004217,348,0,157,0
Caldas,Colombia,360,0,7,0,251,4,102,-4,2020-07-20 03:00:00,140004206,243,0,110,0
Caqueta,Colombia,220,0,4,0,45,9,171,-9,2020-07-20 03:00:00,140004220,36,0,180,0
Quindio,Colombia,208,0,5,0,165,6,38,-6,2020-07-20 03:00:00,140004207,159,0,44,0
Putumayo,Colombia,199,0,11,0,20,2,168,-2,2020-07-20 03:00:00,140004224,15,0,173,0
Arauca,Colombia,161,0,0,0,86,5,75,-5,2020-07-20 03:00:00,140004212,81,0,80,0
Casanare,Colombia,148,0,1,0,77,1,70,-1,2020-07-20 03:00:00,140004213,69,0,78,0
Vaupes,Colombia,61,0,1,0,26,0,34,0,2020-07-20 03:00:00,140004219,26,0,34,0
Guaviare,Colombia,48,0,0,0,37,0,11,0,2020-07-20 03:00:00,140004222,37,0,11,0
San Andres y Providencia,Colombia,30,0,0,0,26,0,4,0,2020-07-20 03:00:00,140004229,23,0,7,0
Guainia,Colombia,14,0,1,0,13,0,0,0,2020-07-20 03:00:00,140004223,13,0,0,0
Vichada,Colombia,2,0,0,0,1,0,1,0,2020-07-20 03:00:00,140004221,1,0,1,0
Buenos Aires,Argentina,68023,1817,1102,21,33097,1041,33824,755,2020-07-20 03:00:00,140003351,33097,1041,33824,755
Buenos Aires - Capital Federal,Argentina,48113,4848,20830,20025,14991,-13421,12292,-1756,2020-07-20 03:00:00,140003352,14991,146,12292,-15323
Chaco,Argentina,2918,60,123,1,2338,164,457,-105,2020-07-20 03:00:00,140003354,2338,164,457,-105
Rio Negro,Argentina,1320,48,57,3,1013,46,250,-1,2020-07-20 03:00:00,140003366,1013,46,250,-1
Cordoba,Argentina,1275,165,40,1,633,15,602,149,2020-07-20 03:00:00,140003356,459,-2,776,166
Neuquen,Argentina,892,21,22,0,496,8,374,13,2020-07-20 03:00:00,140003365,496,16,374,5
Jujuy,Argentina,890,187,27,1,167,39,696,147,2020-07-20 03:00:00,140003360,109,16,754,170
Santa Fe,Argentina,691,51,9,0,446,25,236,26,2020-07-20 03:00:00,140003371,446,25,236,26
Entre Rios,Argentina,622,27,5,0,285,8,332,19,2020-07-20 03:00:00,140003358,205,11,412,16
Mendoza,Argentina,524,80,17,3,158,6,349,71,2020-07-20 03:00:00,140003363,132,0,375,77
Chubut,Argentina,232,1,2,0,158,13,72,-12,2020-07-20 03:00:00,140003355,158,13,72,-12
Tierra del Fuego,Argentina,223,24,1,0,140,1,82,23,2020-07-20 03:00:00,140003373,140,1,82,23
Santa Cruz,Argentina,210,100,0,0,54,0,156,100,2020-07-20 03:00:00,140003370,53,0,157,100
La Rioja,Argentina,191,5,16,1,82,1,93,3,2020-07-20 03:00:00,140003362,82,8,93,-4
Salta,Argentina,140,13,1,0,47,0,92,13,2020-07-20 03:00:00,140003367,30,0,109,13
Corrientes,Argentina,129,0,0,0,119,0,10,0,2020-07-20 03:00:00,140003357,119,0,10,0
Tucuman,Argentina,95,1,5,0,74,3,16,-2,2020-07-20 03:00:00,140003374,60,0,30,1
Formosa,Argentina,79,0,0,0,68,0,11,0,2020-07-20 03:00:00,140003359,67,3,12,-3
Catamarca,Argentina,58,1,0,0,8,4,50,-3,2020-07-20 03:00:00,140003353,8,8,50,-7
Misiones,Argentina,41,0,3,0,38,1,0,-1,2020-07-20 03:00:00,140003364,38,1,0,-1
Santiago del Estero,Argentina,37,2,0,0,25,0,12,2,2020-07-20 03:00:00,140003372,25,0,12,2
San Juan,Argentina,16,2,0,0,8,1,8,1,2020-07-20 03:00:00,140003368,8,1,8,1
San Luis,Argentina,15,1,0,0,11,0,4,1,2020-07-20 03:00:00,140003369,11,0,4,1
La Pampa,Argentina,8,0,0,0,7,0,1,0,2020-07-20 03:00:00,140003361,7,0,1,0
Vienna,Austria,4534,22,202,0,3900,43,432,-21,2020-07-20 03:00:00,140003807,3900,43,432,-21
Tyrol,Austria,3622,0,108,0,3476,0,38,0,2020-07-20 03:00:00,140003806,3476,0,38,0
Upper Austria,Austria,3235,33,61,0,2681,29,493,4,2020-07-20 03:00:00,140003801,2681,29,493,4
Lower Austria,Austria,3186,12,105,0,2900,2,181,10,2020-07-20 03:00:00,140003799,2893,1,188,11
Styria,Austria,1983,6,154,0,1738,7,91,-1,2020-07-20 03:00:00,140003802,1738,21,91,-15
Salzburg,Austria,1342,5,38,0,1241,2,63,3,2020-07-20 03:00:00,140003805,1241,2,63,3
Vorarlberg,Austria,923,0,19,0,897,0,7,0,2020-07-20 03:00:00,140003800,897,0,7,0
Carinthia,Austria,448,0,13,0,418,2,17,-2,2020-07-20 03:00:00,140003804,418,2,17,-2
Burgenland,Austria,382,4,11,0,355,0,16,4,2020-07-20 03:00:00,140003803,355,0,16,4
Flanders,Belgium,30178,0,3904,0,26274,0,0,0,2020-07-20 03:00:00,,,,,
Walloon Brabant,Belgium,17366,0,2721,0,14645,0,0,0,2020-07-20 03:00:00,140003274,,,,
Brussels,Belgium,5507,0,1219,0,4288,0,0,0,2020-07-20 03:00:00,140003275,,,,
São Paulo,Brazil,415049,3022,19732,85,272755,6111,122562,-3174,2020-07-20 03:00:00,140002753,,,,
Ceará,Brazil,146972,428,7178,5,106228,409,33566,14,2020-07-20 03:00:00,140002745,,,,
Rio de Janeiro,Brazil,138524,3294,12114,195,101318,495,25092,2604,2020-07-20 03:00:00,140002762,,,,
Pará,Brazil,137484,537,5523,45,99629,991,32332,-499,2020-07-20 03:00:00,140002744,,,,
